t,o,h,l,c
1789776000000,112.6900,113.7300,112.3300,113.6200
1789779600000,113.6300,114.0600,112.8300,113.3800
1789783200000,113.3900,113.8000,113.3000,113.5800
1789786800000,113.5800,113.8200,113.1000,113.2000
1789790400000,113.2000,113.4000,112.0300,112.3300
1789794000000,112.3200,112.9500,111.7000,111.9000
1789797600000,111.8900,112.0300,111.1400,111.8100
1789801200000,111.8100,112.2000,111.5300,111.5500
1789804800000,111.5600,112.4300,111.4700,112.2100
1789808400000,112.2200,112.4400,111.4000,111.7900
1789812000000,111.7900,112.0900,111.5600,111.5800
1789815600000,111.5700,112.0400,111.5600,111.8300
1789819200000,111.8400,112.0200,111.5800,111.7300
1789822800000,111.7400,111.8000,111.2100,111.5600
1789826400000,111.5700,112.1500,111.4200,111.7300
